"","survey_id","year","month","day","BMU","household_group","Total_Biomass_kg_per_fisherman","Avg_Trophic_Level","richness","total_catch_per_fisherman","Total_value_KES_per_fisherman","Mean_length_cm","Calcium_mg_per_fisherman","Iron_mg_per_fisherman","Omega3_g_per_fisherman","Protein_g_per_fisherman","VitaminA_ug_per_fisherman","Selenium_ug_per_fisherman","mean_lengthdist","Zinc_mg_per_fisherman","TakeHome_kg","Diet_percent_Herbivorous_Detritivorous","Diet_percent_Herbivorous_Macroalgal","Diet_percent_Omnivorous","Diet_percent_Planktivorous","Diet_percent_Carnivorous","trap_type","total_traps_collected","household_group_collapsed","No_fishermen"
"180","2022-04-21 12:50:00 SS/MAY/SB/033/FF","2022","Apr","21","MAYUNGU","Social Marketing + Traps: Experimental",8.97279101347544,2,1,23,1794.55820269509,31.2608695652174,3924.73364858724,83.4504419059908,24.706827345725,1632.92951194652,2421.06434160699,1896.68774735834,7.2564563,153.041082720708,NA,100,0,0,0,0,"Experimental",4,"Social Marketing + Traps",1
"181","2022-04-21 13:22:00 SS/MAY/SB/028/FF","2022","Apr","21","MAYUNGU","Social Marketing + Traps: Experimental",2.43345583251643,2.5,2,8.25,475.6054671016,27.5454545454545,1039.11287582772,20.9151761534992,6.27657201220288,443.142619998664,1229.2124607654,630.644630131432,7.73820289666667,38.2898104422608,NA,66.6666666666667,0,0,0,33.3333333333333,"Experimental",16,"Social Marketing + Traps",4
"182","2022-04-18 11:00:00 SS/UYO/SB/085/FF","2022","Apr","18","UYOMBO","Social Marketing + Traps: Control",1.72708665203552,2.5,2,9,338.96817759388,24.1111111111111,740.721753516916,15.0637580014825,4.50890776317856,314.47322651006,799.12603279086,432.707420457712,4.40486956333333,27.5867667640991,NA,66.6666666666667,0,0,0,33.3333333333333,"Control",8,"Social Marketing + Traps",2
"183","2022-04-04 15:30:00 SS/UYO/SB/100/FF","2022","Apr","4","UYOMBO","Social Marketing + Traps: Experimental",2.9392083214573,2,1,13,587.841664291458,25.6923076923077,1285.62113862975,27.3357791250252,8.093191117714,534.897113134414,793.065663621038,621.296138723112,-0.2435437,50.1315168470986,1.96565770192449,100,0,0,0,0,"Experimental",4,"Social Marketing + Traps",2
"184","2022-04-04 15:30:00 SS/UYO/SB/095/FF","2022","Apr","4","UYOMBO","Social Marketing + Traps: Control",1.10218726033763,3.1625,3,3,190.76061286619,26.3333333333333,341.40910036906,8.25323415106537,2.44612433957365,203.753092879957,959.493689281043,339.437527220604,1.6608629275,13.0444539599929,0.556440735025031,50,0,0,0,50,"Control",7,"Social Marketing + Traps",2
"185","2022-04-06 16:30:00 SS/UYO/SB/092/FF","2022","Apr","6","UYOMBO","Social Marketing + Traps: Experimental",4.30527736059558,2.4975,2,19,853.055029012995,25.6315789473684,1880.50340395932,39.2842772130333,11.5854615380261,786.825331562676,1219.03714452588,956.371038091332,-0.92109959,71.9301566682777,0.691425503134116,75,0,0,0,25,"Experimental",3,"Social Marketing + Traps",1
"186","2022-04-14 09:00:00 SS/UYO/SB/089/FF","2022","Apr","14","UYOMBO","Social Marketing + Traps: Experimental",2.95605663532356,2.5,2,10.5,584.762174251488,28,1278.27799875549,26.4936562394512,7.89291048257492,538.12953946704,1130.73025704789,692.489722940064,6.07153623,48.548237569692,0.838448344497878,66.6666666666667,0,0,0,33.3333333333333,"Experimental",8,"Social Marketing + Traps",2
"187","2022-04-18 11:00:00 SS/UYO/SB/085/FF","2022","Apr","18","UYOMBO","Social Marketing + Traps: Experimental",3.05291219226232,2,1,14.5,610.582438452464,24.8965517241379,1335.35565345941,28.3932692917807,8.40627785965432,555.58971658202,823.745569872652,645.331106021384,1.0064563,52.0708647569524,0.819024042468536,100,0,0,0,0,"Experimental",8,"Social Marketing + Traps",2
"188","2022-04-18 11:00:00 SS/UYO/SB/091/FF","2022","Apr","18","UYOMBO","Social Marketing + Traps: Experimental",1.96904550913835,2.61666666666667,3,11,393.80910182767,25.7272727272727,924.383093211976,16.7999703597951,5.53471479218872,356.089695295548,954.565619484166,612.52038378596,-0.989011851999999,29.8352713884672,NA,66.6666666666667,0,0,0,33.3333333333333,"Experimental",4,"Social Marketing + Traps",2
"189","2022-04-18 11:00:00 SS/UYO/SB/099/FF","2022","Apr","18","UYOMBO","Social Marketing + Traps: Control",7.92243795807624,2.162,2,42,1134.1539404821,23.3571428571429,3884.31831858976,66.5262144051906,12.3561187431635,1472.02540441358,2045.76386066835,2660.16563360519,2.503825136,131.291193089277,1.47424327644337,100,0,0,0,0,"Control",6,"Social Marketing + Traps",1
"190","2022-04-18 11:00:00 SS/UYO/SB/100/FF","2022","Apr","18","UYOMBO","Social Marketing + Traps: Experimental",1.0647312552091,2,1,6.5,212.94625104182,23,465.717587509386,9.9024142683007,2.93176685521164,193.767032611336,287.288857113674,225.06516901505,-2.7435437,18.1601938414772,2.12946251041819,100,0,0,0,0,"Experimental",4,"Social Marketing + Traps",2
"191","2022-04-19 11:30:00 SS/MAY/SB/039/FF","2022","Apr","19","UYOMBO","Social Marketing + Traps: Control",1.2641096311338,2.135,2,9,178.629828223423,20.7777777777778,621.958539427236,10.5778419397213,1.92247526874221,235.03431510239,325.946707318277,429.571128998874,-1.70406967,20.9290152546547,NA,100,0,0,0,0,"Control",6,"Social Marketing + Traps",1
"192","2022-04-19 11:30:00 SS/UYO/SB/100/FF","2022","Apr","19","UYOMBO","Social Marketing + Traps: Experimental",1.14663365945595,2,1,7,229.32673189119,23,501.5420173178,10.6641384427854,3.15728738253562,208.672188966054,309.387999968572,242.3778743239,-2.7435437,19.5571318292832,2.2932673189119,100,0,0,0,0,"Experimental",4,"Social Marketing + Traps",2
"193","2022-04-19 11:30:00 SS/UYO/SB/085/FF","2022","Apr","19","UYOMBO","Social Marketing + Traps: Control",7.13482608524617,2.054,3,35,1171.49604818545,24.1428571428571,3313.16589748657,62.2719340529138,14.2300928211358,1316.11451713379,1846.59502604153,2034.0599997121,-0.335612496,120.3433944626,NA,60,0,40,0,0,"Control",8,"Social Marketing + Traps",1
"194","2022-04-19 11:30:00 SS/UYO/SB/092/FF","2022","Apr","19","UYOMBO","Social Marketing + Traps: Experimental",4.03771514542512,2,1,19,807.543029085024,25.1052631578947,1766.11229113229,37.552319302902,11.1179599323575,734.810853378423,1089.46794207891,853.500859671171,-1.07687703333333,68.8677911527905,0.819024042468536,100,0,0,0,0,"Experimental",3,"Social Marketing + Traps",1
"195","2022-04-19 13:00:00 SS/UYO/SB/091/FF","2022","Apr","19","UYOMBO","Social Marketing + Traps: Control",10.8807160425839,2.33157894736842,6,57.0000000000001,1639.47656950278,22.780701754386,4782.17952888777,90.4310216356707,18.4881349221988,2013.38152434714,3683.73571321183,3334.15002550999,2.53786782736842,184.365389916736,4.45152588020025,52.6315789473684,0,31.5789473684211,0,15.7894736842105,"Control",9,"Social Marketing + Traps",2
