"","trap_type","survey_id","N","median_length","sd","se","ci"
"86","Control","2021-05-23 12:15:00 SS/MAY/SB/034/FF",11,30.7272727272727,3.43775825476164,1.03652311372649,2.30951742067578
"87","Control","2021-05-23 12:15:00 SS/MAY/SB/045/FF",9,27.4444444444444,4.63980363569168,1.54660121189723,3.56646879014678
"88","Control","2021-05-23 12:25:00 SS/MAY/SB/082/FF",18,31.6111111111111,2.87256574980071,0.677070240362767,1.42849334040471
"89","Control","2021-05-23 12:25:00 SS/MAY/SB/083/FF",15,33,3.27326835353989,0.845154254728517,1.81267559477882
"90","Control","2021-05-23 12:35:00 SS/MAY/SB/033/FF",14,28.3571428571429,6.03333232145378,1.61247588910211,3.48354237011817
"91","Control","2021-05-23 13:30:00 SS/MAY/SB/074/FF",12,26.3333333333333,3.89249472080762,1.12366643743874,2.4731731536957
"92","Control","2021-05-24 08:00:00 SS/UYO/SB/095/FF",20,24.25,3.19333186829253,0.714050713221849,1.49452531884074
"93","Control","2021-05-24 09:30:00 SS/UYO/SB/085/FF",22,23,4.62910049886276,0.986927542439654,2.05242818100057
"94","Control","2021-05-24 09:30:00 SS/UYO/SB/089/FF",21,22.5238095238095,4.44543639723984,0.97007375178397,2.02353838737342
"95","Control","2021-05-24 09:30:00 SS/UYO/SB/091/FF",28,23.1785714285714,3.18623859780092,0.602142496249743,1.23549434907484
"96","Control","2021-05-24 09:30:00 SS/UYO/SB/100/FF",4,24.25,4.78713553878169,2.39356776939085,7.61740090414406
"97","Control","2021-05-24 10:00:00 SS/UYO/SB/099/FF",13,22.6153846153846,9.00498437476399,2.49753329984335,5.44165759621983
"98","Control","2021-05-24 11:45:00 SS/MAY/SB/074/FF",26,26.6538461538462,4.5951479427092,0.901182654912306,1.85602042086447
"99","Control","2021-05-24 12:15:00 SS/MAY/SB/002/FF",15,27.6666666666667,4.41857550844268,1.1408712905439,2.44692555658616
"100","Control","2021-05-24 12:15:00 SS/MAY/SB/015/FF",17,28,4.33012701892219,1.05021006302101,2.22634587789372
"101","Control","2021-05-24 12:50:00 SS/MAY/SB/013/FF",21,27.2857142857143,3.63514589999985,0.793253868997985,1.65469857513202
"102","Control","2021-05-24 12:50:00 SS/MAY/SB/077/FF",20,28,4.29197537639476,0.959714869937393,2.00870630815231
"103","Control","2021-05-25 08:30:00 SS/UYO/SB/095/FF",14,21.5714285714286,4.12710152927778,1.10301428021345,2.382917478604
"104","Control","2021-05-25 09:00:00 SS/UYO/SB/088/FF",6,23,0,0,0
"105","Control","2021-05-25 10:00:00 SS/UYO/SB/086/FF",25,21.2,2.84312035153866,0.568624070307733,1.1735824008152
"106","Control","2021-05-25 10:00:00 SS/UYO/SB/094/FF",23,22.5652173913043,2.08514414057075,0.434782608695652,0.901683942566968
"107","Control","2021-05-25 10:00:00 SS/UYO/SB/100/FF",5,29,12.9421791055448,5.78791845139511,16.06983785366
"108","Control","2021-05-25 11:00:00 SS/UYO/SB/089/FF",12,23.8333333333333,4.17423554968361,1.20499800913537,2.65218273604692
"109","Control","2021-05-25 11:00:00 SS/UYO/SB/090/FF",12,23.4166666666667,4.98102459947811,1.43789794667442,3.16479204235663
"110","Control","2021-05-25 11:00:00 SS/UYO/SB/092/FF",3,31.3333333333333,2.88675134594813,1.66666666666667,7.17108788291577
"111","Control","2021-05-25 11:00:00 SS/UYO/SB/099/FF",12,23.4166666666667,4.98102459947811,1.43789794667442,3.16479204235663
"112","Control","2021-05-25 11:25:00 SS/MAY/SB/074/FF",18,26.6111111111111,4.791400248348,1.12934386899526,2.38270728753675
"113","Control","2021-05-25 12:25:00 SS/MAY/SB/003/FF",22,26.6363636363636,4.135162282132,0.881619560797242,1.83342824441668
"114","Control","2021-05-25 13:45:00 SS/MAY/SB/034/FF",13,31.0769230769231,2.53184841770917,0.702208407057905,1.52998068639795
"115","Control","2021-05-25 14:48:00 SS/MAY/SB/001/FF",25,28.6,3.3291640592397,0.665832811847939,1.37421138265771
"116","Control","2021-05-25 14:48:00 SS/MAY/SB/014/FF",10,31.5,2.41522945769824,0.763762615825973,1.72775107206822
"117","Control","2021-05-25 14:48:00 SS/MAY/SB/015/FF",18,29.1111111111111,4.04226041727222,0.952769917458382,2.01016881394466
"118","Control","2021-05-26 10:30:00 SS/UYO/SB/086/FF",21,22.047619047619,2.01186954040739,0.439025926537757,0.915792035159789
"119","Control","2021-05-26 10:30:00 SS/UYO/SB/088/FF",12,22.1666666666667,2.88675134594813,0.833333333333333,1.83415430007637
"120","Control","2021-05-26 10:30:00 SS/UYO/SB/100/FF",14,19.4285714285714,2.34403615469248,0.626470013790735,1.35340618200732
"121","Control","2021-05-26 11:00:00 SS/UYO/SB/085/FF",57,22.9122807017544,4.77074680345296,0.631900850853807,1.26584951470496
"122","Control","2021-05-26 11:00:00 SS/UYO/SB/091/FF",51,20.2549019607843,3.21149894756266,0.449699801614891,0.903248634243493
"123","Control","2021-05-26 11:00:00 SS/UYO/SB/097/FF",19,24.3157894736842,2.26206964179432,0.518954366938563,1.09028266738056
"124","Control","2021-05-26 11:57:00 SS/MAY/SB/074/FF",26,30.3076923076923,3.23443016025056,0.634323942402717,1.30641461431286
"125","Control","2021-05-26 12:26:00 SS/MAY/SB/077/FF",23,27.7826086956522,3.52853976672724,0.735751401936217,1.52585501714815
"126","Control","2021-05-26 12:36:00 SS/MAY/SB/013/FF",16,30.1875,3.14576434802948,0.78644108700737,1.67625949751139
"127","Control","2021-05-26 12:36:00 SS/MAY/SB/014/FF",14,26.5714285714286,5.34522483824849,1.42857142857143,3.08624093780399
"128","Control","2021-05-26 13:15:00 SS/MAY/SB/006/FF",16,31.125,3.09569593683445,0.773923984208613,1.64957992443926
"129","Control","2021-05-27 08:30:00 SS/UYO/SB/095/FF",22,23.6818181818182,2.80112840589651,0.597202582741186,1.2419507591757
"130","Control","2021-05-27 09:00:00 SS/UYO/SB/100/FF",21,23,5,1.09108945117996,2.27597271285877
"131","Control","2021-05-27 11:00:00 SS/UYO/SB/086/FF",22,22.7727272727273,2.42863508956541,0.517786740861718,1.07679647491245
"132","Control","2021-05-27 11:00:00 SS/UYO/SB/088/FF",9,20.7777777777778,3.63241578628389,1.21080526209463,2.79212194131718
"133","Control","2021-05-27 11:30:00 SS/UYO/SB/085/FF",57,22.9122807017544,4.77074680345296,0.631900850853807,1.26584951470496
"134","Control","2021-05-27 11:30:00 SS/UYO/SB/090/FF",25,23.2,5.09901951359278,1.01980390271856,2.10477180796348
"135","Control","2021-05-27 11:30:00 SS/UYO/SB/091/FF",29,22.3103448275862,4.37609943961729,0.812621265336139,1.66457920348924
"136","Control","2021-05-28 12:00:00 SS/UYO/SB/089/FF",34,21.8235294117647,4.44815650092086,0.76285254640038,1.55203517534975
"137","Control","2021-05-28 12:00:00 SS/UYO/SB/091/FF",46,23.5434782608696,3.37116215859115,0.497050743178044,1.00111158628064
"138","Control","2021-05-28 12:00:00 SS/UYO/SB/092/FF",3,24.6666666666667,2.88675134594813,1.66666666666667,7.17108788291577
"139","Control","2021-05-28 12:00:00 SS/UYO/SB/099/FF",22,23.2272727272727,2.42863508956541,0.517786740861718,1.07679647491245
"140","Control","2021-05-28 SS/UYO/SB/096/FF",50,24,5.53283335172488,0.782460796435952,1.57241384054211
"141","Control","2021-05-28 SS/UYO/SB/100/FF",25,23,4.08248290463863,0.816496580927726,1.68516611895093
"142","Control","2021-05-29 09:00:00 SS/UYO/SB/088/FF",5,23,0,0,0
"143","Control","2021-05-29 12:30:00 SS/UYO/SB/086/FF",22,21.6363636363636,3.15542547950509,0.672738972637232,1.39903728138426
"144","Control","2021-05-29 12:30:00 SS/UYO/SB/090/FF",21,24.1904761904762,5.67995640492995,1.23946810331623,2.5854851575696
"145","Control","2021-05-29 12:30:00 SS/UYO/SB/091/FF",13,23.3846153846154,4.77036793721514,1.32306201541989,2.88270449364224
"146","Control","2021-05-29 12:30:00 SS/UYO/SB/092/FF",7,25.1428571428571,3.93397896234722,1.48690428533295,3.63832371729944
"147","Control","2021-05-29 12:30:00 SS/UYO/SB/100/FF",16,22.6875,4.64354390525168,1.16088597631292,2.47436988665889
"148","Control","2021-05-30 10:30:00 SS/UYO/SB/095/FF",22,21.8636363636364,3.05965224518602,0.652320050472711,1.35657380815651
"149","Control","2021-05-30 12:00:00 SS/UYO/SB/094/FF",24,23.625,4.25095897109265,0.867723366390297,1.79502254562172
"150","Control","2021-05-30 13:30:00 SS/UYO/SB/092/FF",8,25.5,2.67261241912424,0.944911182523068,2.23435989779526
"151","Control","2021-05-30 13:30:00 SS/UYO/SB/096/FF",16,23.9375,2.71952814534679,0.679882036336697,1.44913425738411
"152","Control","2021-05-30 13:30:00 SS/UYO/SB/100/FF",18,22.1666666666667,3.92952623996688,0.926198217043686,1.95410742648021
"153","Control","2021-05-31 08:00:00 SS/UYO/SB/100/FF",6,23.8333333333333,5.84522597225006,2.38630351054606,6.13418845852487
"154","Control","2021-05-31 14:00:00 SS/UYO/SB/091/FF",44,21.75,2.4411682296764,0.368019957635125,0.74218297772291
"155","Control","2021-05-31 14:00:00 SS/UYO/SB/099/FF",66,24.5151515151515,5.81574103815187,0.715868235535806,1.42968759060225
"156","Control","2021-06-01 09:00:00 SS/UYO/SB/088/FF",6,26.3333333333333,9.83192080250175,4.01386485959743,10.3179680987801
"157","Control","2021-06-01 09:00:00 SS/UYO/SB/095/FF",14,22.6428571428571,2.37315573274662,0.63425254838545,1.37021932581358
"158","Control","2021-06-01 14:30:00 SS/UYO/SB/089/FF",40,20,4.35595672319629,0.688737231721194,1.39310254489371
"159","Control","2021-06-01 14:30:00 SS/UYO/SB/090/FF",41,21.2926829268293,5.31622000315555,0.83025407692026,1.67800608256499
"160","Control","2021-06-01 14:30:00 SS/UYO/SB/095/FF",14,22.6428571428571,2.37315573274662,0.63425254838545,1.37021932581358
"161","Control","2021-06-01 14:30:00 SS/UYO/SB/096/FF",36,22.7222222222222,2.37379877725991,0.395633129543318,0.803177952964385
"162","Control","2021-06-01 15:00:00 SS/UYO/SB/092/FF",20,23,0,0,0
"163","Control","2021-06-01 15:00:00 SS/UYO/SB/094/FF",13,20.3076923076923,2.59437260831385,0.719549497456527,1.56776367663889
"164","Control","2021-06-02 09:30:00 SS/UYO/SB/088/FF",12,27.1666666666667,5.57320429022713,1.6088454986057,3.54104506731139
"165","Control","2021-06-02 15:30:00 SS/UYO/SB/092/FF",27,23.9259259259259,1.97923695331785,0.380904329262705,0.782960062106007
"166","Control","2021-06-02 16:00:00 SS/UYO/SB/085/FF",39,21.8461538461538,3.7101458443348,0.594098804400948,1.20269015241636
"167","Control","2021-06-02 16:00:00 SS/UYO/SB/091/FF",44,23.5681818181818,4.96685632302921,0.748781764140552,1.5100623426663
"168","Control","2021-06-02 16:00:00 SS/UYO/SB/099/FF",54,24.8518518518519,3.92095198012781,0.533573980959359,1.07021387551505
"169","Control","2021-06-04 08:00:00 SS/UYO/SB/094/FF",17,25.0588235294118,5.87867532097255,1.42578819335774,3.02253594666618
"170","Control","2021-06-04 08:30:00 SS/UYO/SB/088/FF",21,23.2380952380952,1.92106121466136,0.419209925277595,0.874456580860119
"171","Control","2021-06-05 08:00:00 SS/UYO/SB/088/FF",8,19.25,2.31455024943138,0.818317088384971,1.9350124326879
"172","Control","2021-06-05 08:00:00 SS/UYO/SB/091/FF",19,25.6315789473684,5.36667211506752,1.23119902172089,2.58665316065663
"173","Control","2021-06-05 08:00:00 SS/UYO/SB/092/FF",7,28,0,0,0
"174","Control","2021-06-06 07:30:00 SS/UYO/SB/100/FF",37,25.027027027027,4.32362043820843,0.710798821534212,1.44156682585751
"175","Control","2021-06-06 08:00:00 SS/UYO/SB/094/FF",28,21.9285714285714,3.93397896234722,0.743452142666476,1.52543779386573
"176","Control","2021-06-06 08:00:00 SS/UYO/SB/096/FF",35,23.2857142857143,4.0115379812224,0.678073678567032,1.37801151018072
"177","Control","2021-07-04 12:40:00 SS/MAY/SB/074/FF",12,27.1666666666667,9.49481517205654,2.74091704774629,6.03271774713178
"178","Control","2021-07-04 13:23:00 SS/MAY/SB/028/FF",13,27.2307692307692,1.87766904049703,0.520771692604869,1.13466404517501
"179","Control","2021-07-05 13:07:00 SS/MAY/SB/028/FF",4,24.25,2.5,1.25,3.97805788160463
"180","Control","2021-07-05 13:08:00 SS/MAY/SB/074/FF",12,32.1666666666667,8.21122660899347,2.3703769465397,5.21716448315721
"181","Control","2021-07-06 12:35:00 SS/MAY/SB/074/FF",12,30.5,6.90849279707757,1.99431008804366,4.38944690840515
"182","Control","2021-07-06 13:17:00 SS/MAY/SB/028/FF",8,26.75,2.31455024943138,0.818317088384971,1.9350124326879
"183","Control","2021-07-07 13:18:00 SS/MAY/SB/052/FF",6,26.3333333333333,2.58198889747161,1.05409255338946,2.70963117082245
"184","Control","2021-07-07 13:35:00 SS/MAY/SB/002/FF",8,29.25,9.16125381312904,3.23899234771733,7.65899985613585
"185","Control","2021-07-07 13:35:00 SS/MAY/SB/015/FF",8,29.25,9.16125381312904,3.23899234771733,7.65899985613585
"186","Control","2021-07-09 12:20:00 SS/MAY/SB/013/FF",11,33,5.47722557505166,1.65144564768954,3.6796502095607
"187","Control","2021-07-09 12:35:00 SS/MAY/SB/074/FF",10,28,8.81917103688197,2.78886675511359,6.30885490616998
"188","Control","2021-07-09 12:40:00 SS/MAY/SB/001/FF",12,33,12.0604537831105,3.48155311911396,7.66284674924058
"189","Control","2021-07-09 13:18:00 SS/MAY/SB/052/FF",9,24.1111111111111,5.464532103585,1.821510701195,4.20041120927431
"190","Control","2021-07-10 12:20:00 SS/MAY/SB/001/FF",18,31.8888888888889,5.82983088130137,1.37410431644632,2.89910669240644
"191","Control","2021-07-11 12:40:00 SS/MAY/SB/031/FF",8,35.5,6.54653670707977,2.31455024943138,5.47304165133556
"192","Control","2021-07-11 12:40:00 SS/MAY/SB/074/FF",10,28.5,6.43341968853959,2.03442593595562,4.60219120320444
"193","Control","2021-07-11 13:20:00 SS/MAY/SB/052/FF",8,29.875,2.58774584753383,0.91490631838925,2.16340966839869
"194","Control","2021-07-12 12:45:00 SS/MAY/SB/036/FF",6,23,4.47213595499958,1.82574185835055,4.69321885763682
"195","Control","2021-07-13 12:34:00 SS/MAY/SB/074/FF",15,32.6666666666667,9.53689577128643,2.46241589978055,5.28135684196647
"196","Control","2021-07-13 12:47:00 SS/MAY/SB/028/FF",8,25.5,2.67261241912424,0.944911182523068,2.23435989779526
"197","Control","2021-07-13 13:11:00 SS/MAY/SB/017/FF",9,25.2222222222222,5.65194165260439,1.88398055086813,4.34446694094613
"198","Control","2021-07-14 13:13:00 SS/MAY/SB/028/FF",7,25.8571428571429,2.67261241912424,1.01015254455221,2.47175423272905
"199","Control","2021-07-15 12:29:00 SS/MAY/SB/029/FF",6,26.3333333333333,5.16397779494322,2.10818510677892,5.41926234164489
"200","Control","2021-07-15 12:49:00 SS/MAY/SB/028/FF",12,26.3333333333333,3.25669473639465,0.940126791362944,2.06920511639441
"201","Control","2021-07-16 13:34:00 SS/MAY/SB/017/FF",7,28.7142857142857,6.07492896293956,2.29610732404594,5.61837222270878
"202","Control","2021-07-17 12:30:00 SS/MAY/SB/003/FF",12,30.9166666666667,5.41812334725416,1.56407748651989,3.44251133706371
"203","Control","2021-07-17 12:45:00 SS/MAY/SB/077/FF",13,28.7692307692308,6.72252242036482,1.86449225285243,4.06237964133004
"204","Control","2021-07-17 13:57:00 SS/MAY/SB/028/FF",10,23,6.66666666666667,2.10818510677892,4.76904603980443
"205","Control","2021-07-18 01:48:00 SS/MAY/SB/058/FF",11,28.4545454545455,3.50324524872685,1.0562681853293,2.35351218184924
"206","Control","2021-07-18 13:13:00 SS/MAY/SB/017/FF",6,26.3333333333333,4.08248290463863,1.66666666666667,4.28430305939386
"207","Control","2021-07-19 12:20:00 SS/MAY/SB/013/FF",14,28.7142857142857,7.03210846407743,1.87941004137221,4.06021854602195
"208","Control","2021-07-19 13:11:00 SS/MAY/SB/028/FF",9,31.3333333333333,2.5,0.833333333333333,1.92167011267014
"209","Control","2021-07-19 13:27:00 SS/MAY/SB/083/FF",8,27.375,4.95515604482557,1.75191222056684,4.14261412341411
"210","Control","2021-07-20 12:18:00 SS/MAY/SB/028/FF",5,25,2.73861278752583,1.22474487139159,3.40043690329128
"211","Control","2021-07-21 12:45:00 SS/MAY/SB/030/FF",14,33,8.77058019307029,2.34403615469248,5.0639822382132
