"","survey_id","trap_type","total_traps_collected","reported_kg_trap","CPUE","reported_KES_trap"
"55","2021-05-19 SS/MAY/SB/018/FF 2021-05-19 12:25:00","Control",NA,NA,NA,NA
"56","2021-05-19 SS/MAY/SB/021/FF 2021-05-19 12:25:00","Control",NA,NA,NA,NA
"57","2021-05-19 SS/MAY/SB/032/FF 2021-05-19 12:25:00","Control",NA,NA,NA,NA
"58","2021-05-19 SS/MAY/SB/034/FF 2021-05-19 12:35:00","Control",9,1.66666666666667,1.66666666666667,333.333333333333
"59","2021-05-19 SS/MAY/SB/028/FF 2021-05-19 13:35:00","Control",9,4.66666666666667,1.33333333333333,NA
"60","2021-05-19 SS/MAY/SB/006/FF 2021-05-19 12:25:00","Control",8,1.25,2.25,250
"61","2021-05-19 SS/MAY/SB/038/FF 2021-05-19 12:25:00","Control",8,1.25,2.375,250
"62","2021-05-19 SS/MAY/SB/030/FF 2021-05-19 12:30:00","Control",16,1.125,5.8125,225
"63","2021-05-19 SS/MAY/SB/002/FF 2021-05-19 12:25:00","Control",15,1.4,1.4,280
"64","2021-05-19 SS/MAY/SB/001/FF 2021-05-19 12:25:00","Control",15,1.4,1.2,280
"65","2021-05-19 SS/MAY/SB/010/FF 2021-05-19 14:15:00","Control",NA,NA,NA,NA
"66","2021-05-19 SS/MAY/SB/043/FF 2021-05-19 12:57:00","Control",6,1.33333333333333,2.33333333333333,266.666666666667
"67","2021-05-19 SS/MAY/SB/042/FF 2021-05-19 11:43:00","Control",12,0.833333333333333,1.08333333333333,166.666666666667
"68","2021-05-19 SS/MAY/SB/058/FF 2021-05-19 13:15:00","Control",7,1.42857142857143,2.42857142857143,285.714285714286
"69","2021-05-19 SS/MAY/SB/017/FF 2021-05-19 13:15:00","Control",7,1.42857142857143,2.42857142857143,285.714285714286
"70","2021-05-19 SS/MAY/SB/082/FF 2021-05-19 13:15:00","Control",7,1.42857142857143,2.42857142857143,285.714285714286
"71","2021-05-19 SS/MAY/SB/083/FF 2021-05-19 13:15:00","Control",7,1.42857142857143,2.42857142857143,285.714285714286
"72","2021-05-19 SS/MAY/SB/030/FF 2021-05-19 17:37:00","Control",NA,NA,NA,NA
"73","2021-05-19 SS/MAY/SB/077/FF 2021-05-19 17:37:00","Control",NA,NA,NA,NA
"74","2021-05-19 SS/MAY/SB/013/FF 2021-05-19 17:37:00","Control",NA,NA,NA,NA
"75","2021-05-19 SS/MAY/SB/081/FF 2021-05-19 13:15:00","Control",10,1,1.7,200
"76","2021-05-19 SS/MAY/SB/029/FF 2021-05-19 13:15:00","Control",6,1.66666666666667,2.83333333333333,333.333333333333
"77","2021-05-19 SS/MAY/SB/077/FF 2021-05-19 13:27:00","Control",NA,NA,NA,NA
"78","2021-05-19 SS/MAY/SB/030/FF 2021-05-19 13:27:00","Control",NA,NA,NA,NA
"79","2021-05-19 SS/MAY/SB/013/FF 2021-05-19 13:27:00","Control",NA,NA,NA,NA
"80","2021-05-19 SS/MAY/SB/074/FF 2021-05-19 12:47:00","Control",15,0.8,1.46666666666667,160
"81","2021-05-20 SS/UYO/SB/085/FF 2021-05-20 16:30:00","Control",8,0.6875,4.875,137.5
"82","2021-05-20 SS/UYO/SB/089/FF 2021-05-20 16:30:00","Control",8,0.6875,4.875,137.5
"83","2021-05-20 SS/UYO/SB/091/FF 2021-05-20 16:30:00","Control",9,0.488888888888889,3.22222222222222,97.7777777777778
"84","2021-05-20 SS/UYO/SB/100/FF 2021-05-20 08:00:00","Control",7,0.428571428571429,NA,85.7142857142857
"85","2021-05-20 SS/MAY/SB/074/FF 2021-05-20 16:33:00","Control",15,0.266666666666667,2.53333333333333,66.6666666666667
"86","2021-05-20 SS/MAY/SB/042/FF 2021-05-20 12:43:00","Control",10,1.5,2.1,300
"87","2021-05-20 SS/MAY/SB/043/FF 2021-05-20 12:43:00","Control",6,2,2.33333333333333,400
"88","2021-05-20 SS/MAY/SB/081/FF 2021-05-20 13:15:00","Control",10,2.2,3.1,440
"89","2021-05-20 SS/MAY/SB/058/FF 2021-05-20 13:15:00","Control",7,3.14285714285714,4.42857142857143,628.571428571429
"90","2021-05-20 SS/MAY/SB/017/FF 2021-05-20 13:15:00","Control",7,3.14285714285714,4.42857142857143,628.571428571429
"91","2021-05-20 SS/MAY/SB/029/FF 2021-05-20 13:15:00","Control",6,3.66666666666667,7.5,733.333333333333
"92","2021-05-20 SS/MAY/SB/082/FF 2021-05-20 13:15:00","Control",6,3.66666666666667,5.16666666666667,733.333333333333
"93","2021-05-20 SS/MAY/SB/074/FF 2021-05-20 11:04:00","Control",15,0.733333333333333,2.53333333333333,146.666666666667
"94","2021-05-20 SS/MAY/SB/014/FF 2021-05-20 14:07:00","Control",9,1.77777777777778,5,355.555555555556
"95","2021-05-20 SS/MAY/SB/036/FF 2021-05-20 14:07:00","Control",7,2.28571428571429,5.85714285714286,457.142857142857
"96","2021-05-20 SS/MAY/SB/015/FF 2021-05-20 13:15:00","Control",15,0.666666666666667,1.66666666666667,133.333333333333
"97","2021-05-20 SS/MAY/SB/034/FF 2021-05-20 12:30:00","Control",9,1.44444444444444,5.11111111111111,288.888888888889
"98","2021-05-20 SS/MAY/SB/010/FF 2021-05-20 16:03:00","Control",NA,NA,NA,NA
"99","2021-05-20 SS/MAY/SB/053/FF 2021-05-20 12:45:00","Control",15,1.2,1.4,240
"100","2021-05-20 SS/MAY/SB/049/FF 2021-05-20 12:20:00","Control",NA,NA,NA,NA
"101","2021-05-20 SS/MAY/SB/032/FF 2021-05-20 23:30:00","Control",NA,NA,NA,NA
"102","2021-05-20 SS/MAY/SB/018/FF 2021-05-20 12:20:00","Control",NA,NA,NA,NA
"103","2021-05-20 SS/MAY/SB/021/FF 2021-05-20 12:20:00","Control",NA,NA,NA,NA
"104","2021-05-20 SS/MAY/SB/077/FF 2021-05-20 12:40:00","Control",16,2,3.125,NA
"105","2021-05-20 SS/MAY/SB/013/FF 2021-05-20 12:40:00","Control",16,2,1.625,NA
"106","2021-05-20 SS/MAY/SB/030/FF 2021-05-20 12:40:00","Control",16,2,2.25,NA
"107","2021-05-20 SS/MAY/SB/006/FF 2021-05-20 12:30:00","Control",8,1.375,3.375,275
"108","2021-05-20 SS/MAY/SB/038/FF 2021-05-20 12:30:00","Control",11,1,1.90909090909091,200
"109","2021-05-20 SS/MAY/SB/028/FF 2021-05-20 23:15:00","Control",9,2.22222222222222,2.44444444444444,444.444444444444
"110","2021-05-20 SS/MAY/SB/052/FF 2021-05-20 23:15:00","Control",9,2.22222222222222,1.22222222222222,444.444444444444
"111","2021-05-20 SS/MAY/SB/011/FF 2021-05-20 22:45:00","Control",15,1.33333333333333,1.86666666666667,266.666666666667
"112","2021-05-20 SS/MAY/SB/003/FF 2021-05-20 22:45:00","Control",15,1.33333333333333,1.26666666666667,266.666666666667
"113","2021-05-20 SS/MAY/SB/002/FF 2021-05-20 13:15:00","Control",15,0.666666666666667,1.6,133.333333333333
"114","2021-05-20 SS/MAY/SB/001/FF 2021-05-20 13:15:00","Control",15,0.666666666666667,1.26666666666667,133.333333333333
"115","2021-05-20 SS/MAY/SB/077/FF 2021-05-20 23:25:00","Control",15,1.2,3.33333333333333,240
"116","2021-05-20 SS/MAY/SB/028/FF 2021-05-20 12:20:00","Control",15,0.933333333333333,1.46666666666667,186.666666666667
"117","2021-05-20 SS/MAY/SB/010/FF 2021-05-20 15:15:00","Control",15,5.06666666666667,3.26666666666667,NA
"118","2021-05-20 SS/MAY/SB/036/FF 2021-05-20 12:45:00","Control",10,0.9,4.1,180
"119","2021-05-20 SS/MAY/SB/014/FF 2021-05-20 12:45:00","Control",11,0.818181818181818,4.09090909090909,163.636363636364
"120","2021-05-20 SS/MAY/SB/034/FF 2021-05-20 12:25:00","Control",9,1.22222222222222,5.11111111111111,244.444444444444
"121","2021-05-20 SS/MAY/SB/030/FF 2021-05-20 16:45:00","Control",12,0.916666666666667,3,183.333333333333
"122","2021-05-20 SS/MAY/SB/002/FF 2021-05-20 12:42:00","Control",15,0.533333333333333,1.6,106.666666666667
"123","2021-05-20 SS/MAY/SB/001/FF 2021-05-20 12:42:00","Control",15,0.533333333333333,1.26666666666667,106.666666666667
"124","2021-05-20 SS/MAY/SB/030/FF 2021-05-20 11:25:00","Control",15,1.2,2.4,240
"125","2021-05-21 SS/UYO/SB/088/FF 2021-05-21 10:30:00","Control",5,0.3,1.8,60
"126","2021-05-21 SS/UYO/SB/090/FF 2021-05-21 08:00:00","Control",6,1,7.5,200
"127","2021-05-21 SS/UYO/SB/095/FF 2021-05-21 10:30:00","Control",7,0.857142857142857,5.71428571428571,142.857142857143
"128","2021-05-21 SS/UYO/SB/099/FF 2021-05-21 08:00:00","Control",6,1,7.5,200
"129","2021-05-21 SS/UYO/SB/100/FF 2021-05-21 10:30:00","Control",6,0.45,4.33333333333333,90
"130","2021-05-22 SS/UYO/SB/090/FF 2021-05-22 09:00:00","Control",6,0.5,2,100
"131","2021-05-22 SS/UYO/SB/094/FF 2021-05-22 09:00:00","Control",8,0.4375,2.5,62.5
"132","2021-05-22 SS/UYO/SB/099/FF 2021-05-22 09:00:00","Control",6,0.5,2.16666666666667,100
"133","2021-05-22 SS/UYO/SB/100/FF 2021-05-22 11:00:00","Control",7,0.857142857142857,4.57142857142857,171.428571428571
"134","2021-05-22 SS/UYO/SB/089/FF 2021-05-22 09:00:00","Control",8,1,12.75,200
"135","2021-05-22 SS/UYO/SB/092/FF 2021-05-22 09:00:00","Control",5,1.24,8,252
"136","2021-05-22 SS/UYO/SB/091/FF 2021-05-22 09:00:00","Control",9,0.822222222222222,5.88888888888889,135.555555555556
"137","2021-05-22 SS/UYO/SB/095/FF 2021-05-22 08:30:00","Control",7,0.771428571428571,4.57142857142857,165.714285714286
"138","2021-05-23 SS/UYO/SB/100/FF 2021-05-23 01:00:00","Control",7,0.214285714285714,0.714285714285714,42.8571428571429
"139","2021-05-23 SS/UYO/SB/096/FF 2021-05-23 09:00:00","Control",12,0.358333333333333,1.58333333333333,71.6666666666667
"140","2021-05-23 SS/UYO/SB/092/FF 2021-05-23 10:15:00","Control",5,0.3,0.4,20
"141","2021-05-23 SS/UYO/SB/088/FF 2021-05-23 09:30:00","Control",5,0.3,0.8,20
"142","2021-05-23 SS/UYO/SB/095/FF 2021-05-23 07:30:00","Control",7,0.714285714285714,4.85714285714286,114.285714285714
"143","2021-05-24 SS/UYO/SB/100/FF 2021-05-24 09:30:00","Control",7,0.128571428571429,0.571428571428571,25.7142857142857
"144","2021-05-24 SS/UYO/SB/095/FF 2021-05-24 08:00:00","Control",7,0.4,2.85714285714286,71.4285714285714
