"","survey_id","trap_type","BMU","Diet_percent_Herbivorous_Detritivorous","Diet_percent_Herbivorous_Macroalgal","Diet_percent_Omnivorous","Diet_percent_Planktivorous","Diet_percent_Carnivorous"
"612","2022-02-11 11:00:00 SS/UYO/SB/091/FF","Experimental","UYOMBO",50,0,0,0,50
"613","2022-02-11 11:00:00 SS/UYO/SB/095/FF","Experimental","UYOMBO",25,0,50,0,25
"614","2022-02-11 12:15:00 SS/MAY/SB/014/FF","Control","MAYUNGU",60,0,20,0,20
"615","2022-02-11 12:18:00 SS/MAY/SB/043/FF","Experimental","MAYUNGU",75,0,0,0,25
"616","2022-02-11 12:30:00 SS/MAY/SB/019/FF","Control","MAYUNGU",0,0,20,0,80
"617","2022-02-11 12:32:00 SS/MAY/SB/026/FF","Experimental","MAYUNGU",100,0,0,0,0
"618","2022-02-11 12:32:00 SS/MAY/SB/027/FF","Control","MAYUNGU",62.5,0,12.5,0,25
"619","2022-02-11 12:32:00 SS/MAY/SB/027/FF","Experimental","MAYUNGU",100,0,0,0,0
"620","2022-02-11 12:37:00 SS/MAY/SB/035/FF","Control","MAYUNGU",75,0,12.5,0,12.5
"621","2022-02-11 12:45:00 SS/MAY/SB/066/FF","Control","MAYUNGU",50,0,33.3333333333333,0,16.6666666666667
"622","2022-02-11 12:47:00 SS/MAY/SB/077/FF","Control","MAYUNGU",100,0,0,0,0
"623","2022-02-11 12:49:00 SS/MAY/SB/033/FF","Control","MAYUNGU",83.3333333333333,0,16.6666666666667,0,0
"624","2022-02-11 13:20:00 SS/MAY/SB/010/FF","Experimental","MAYUNGU",50,0,25,0,25
"625","2022-02-13 12:16:00 SS/MAY/SB/014/FF","Control","MAYUNGU",100,0,0,0,0
"626","2022-02-13 12:22:00 SS/MAY/SB/033/FF","Control","MAYUNGU",50,0,30,0,20
"627","2022-02-13 12:22:00 SS/MAY/SB/033/FF","Experimental","MAYUNGU",100,0,0,0,0
"628","2022-02-13 12:39:00 SS/MAY/SB/019/FF","Control","MAYUNGU",75,0,0,0,25
"629","2022-02-13 12:40:00 SS/MAY/SB/076/FF","Control","MAYUNGU",33.3333333333333,16.6666666666667,16.6666666666667,0,33.3333333333333
"630","2022-02-13 12:53:00 SS/MAY/SB/035/FF","Control","MAYUNGU",60,0,0,20,20
"631","2022-02-13 12:53:00 SS/MAY/SB/035/FF","Experimental","MAYUNGU",100,0,0,0,0
"632","2022-02-13 13:40:00 SS/MAY/SB/033/FF","Control","MAYUNGU",50,0,30,0,20
"633","2022-02-13 13:50:00 SS/MAY/SB/066/FF","Control","MAYUNGU",28.5714285714286,0,14.2857142857143,14.2857142857143,42.8571428571429
"634","2022-02-13 13:53:00 SS/MAY/SB/043/FF","Control","MAYUNGU",80,0,20,0,0
"635","2022-02-14 13:00:00 SS/UYO/SB/089/FF","Control","UYOMBO",50,0,40,0,10
"636","2022-02-15 12:46:00 SS/MAY/SB/036/FF","Control","MAYUNGU",60,0,40,0,0
"637","2022-02-15 12:49:00 SS/MAY/SB/045/FF","Control","MAYUNGU",62.5,0,12.5,0,25
"638","2022-02-15 12:49:00 SS/MAY/SB/045/FF","Experimental","MAYUNGU",100,0,0,0,0
"639","2022-02-15 13:13:00 SS/MAY/SB/074/FF","Experimental","MAYUNGU",33.3333333333333,0,33.3333333333333,0,33.3333333333333
"640","2022-02-15 15:12:00 SS/MAY/SB/066/FF","Control","MAYUNGU",50,0,16.6666666666667,16.6666666666667,16.6666666666667
"641","2022-02-16 12:43:00 SS/MAY/SB/027/FF","Control","MAYUNGU",50,0,25,12.5,12.5
"642","2022-02-16 12:43:00 SS/MAY/SB/027/FF","Experimental","MAYUNGU",100,0,0,0,0
"643","2022-02-16 13:51:00 SS/MAY/SB/015/FF","Experimental","MAYUNGU",100,0,0,0,0
"644","2022-02-16 13:52:00 SS/MAY/SB/070/FF","Experimental","MAYUNGU",100,0,0,0,0
"645","2022-02-17 12:11:00 SS/MAY/SB/013/FF","Experimental","MAYUNGU",33.3333333333333,0,33.3333333333333,16.6666666666667,16.6666666666667
"646","2022-02-17 12:11:00 SS/MAY/SB/077/FF","Control","MAYUNGU",62.5,0,25,0,12.5
"647","2022-02-17 12:30:00 SS/MAY/SB/034/FF","Control","MAYUNGU",50,0,33.3333333333333,0,16.6666666666667
"648","2022-02-17 12:38:00 SS/MAY/SB/072/FF","Control","MAYUNGU",42.8571428571429,0,28.5714285714286,14.2857142857143,14.2857142857143
"649","2022-02-17 12:47:00 SS/MAY/SB/011/FF","Control","MAYUNGU",40,0,40,0,20
"650","2022-02-17 12:47:00 SS/MAY/SB/031/FF","Control","MAYUNGU",40,0,40,0,20
"651","2022-02-17 13:38:00 SS/MAY/SB/006/FF","Control","MAYUNGU",42.8571428571429,0,28.5714285714286,14.2857142857143,14.2857142857143
"652","2022-02-17 13:44:00 SS/MAY/SB/066/FF","Control","MAYUNGU",50,0,25,0,25
"653","2022-02-17 13:44:00 SS/MAY/SB/066/FF","Experimental","MAYUNGU",100,0,0,0,0
"654","2022-02-17 13:44:00 SS/MAY/SB/068/FF","Control","MAYUNGU",33.3333333333333,0,50,0,16.6666666666667
"655","2022-02-17 13:48:00 SS/MAY/SB/033/FF","Control","MAYUNGU",66.6666666666667,0,0,0,33.3333333333333
"656","2022-03-07 00:05:00 SS/UYO/SB/090/FF","Control","UYOMBO",83.3333333333333,0,0,0,16.6666666666667
"657","2022-03-07 00:05:00 SS/UYO/SB/093/FF","Experimental","UYOMBO",33.3333333333333,0,66.6666666666667,0,0
"658","2022-03-07 00:05:00 SS/UYO/SB/100/FF","Control","UYOMBO",100,0,0,0,0
"659","2022-03-07 00:05:00 SS/UYO/SB/100/FF","Experimental","UYOMBO",100,0,0,0,0
"660","2022-03-28 00:05:00 SS/UYO/SB/088/FF","Experimental","UYOMBO",66.6666666666667,0,0,0,33.3333333333333
"661","2022-03-28 00:05:00 SS/UYO/SB/090/FF","Control","UYOMBO",80,0,0,0,20
"662","2022-03-28 00:05:00 SS/UYO/SB/091/FF","Control","UYOMBO",30.7692307692308,0,38.4615384615385,0,30.7692307692308
"663","2022-03-28 00:05:00 SS/UYO/SB/094/FF","Control","UYOMBO",25,0,25,0,50
"664","2022-03-28 00:05:00 SS/UYO/SB/100/FF","Control","UYOMBO",30.7692307692308,0,23.0769230769231,0,46.1538461538462
"665","2022-04-01 12:57:00 SS/MAY/SB/015/FF","Experimental","MAYUNGU",100,0,0,0,0
"666","2022-04-01 12:58:00 SS/MAY/SB/030/FF","Experimental","MAYUNGU",100,0,0,0,0
"667","2022-04-01 12:59:00 SS/MAY/SB/028/FF","Experimental","MAYUNGU",100,0,0,0,0
"668","2022-04-04 05:30:00 SS/UYO/SB/089/FF","Control","UYOMBO",66.6666666666667,0,33.3333333333333,0,0
"669","2022-04-04 12:37:00 SS/MAY/SB/027/FF","Experimental","MAYUNGU",100,0,0,0,0
"670","2022-04-04 12:51:00 SS/MAY/SB/035/FF","Experimental","MAYUNGU",66.6666666666667,0,0,33.3333333333333,0
"671","2022-04-04 12:57:00 SS/MAY/SB/017/FF","Experimental","MAYUNGU",66.6666666666667,0,33.3333333333333,0,0
"672","2022-04-04 15:30:00 SS/UYO/SB/095/FF","Control","UYOMBO",50,0,0,0,50
"673","2022-04-04 15:30:00 SS/UYO/SB/100/FF","Experimental","UYOMBO",100,0,0,0,0
"674","2022-04-06 16:30:00 SS/UYO/SB/092/FF","Experimental","UYOMBO",75,0,0,0,25
"675","2022-04-07 12:52:00 SS/MAY/SB/002/FF","Control","MAYUNGU",33.3333333333333,0,33.3333333333333,0,33.3333333333333
"676","2022-04-07 12:52:00 SS/MAY/SB/015/FF","Experimental","MAYUNGU",50,0,0,0,50
