"","survey_id","trap_type","HOME"
"309","2021-08-28 12:45:00 SS/MAY/SB/015/FF","Control",NA
"310","2021-08-30 08:00:00 SS/UYO/SB/088/FF","Control",NA
"311","2021-08-30 08:00:00 SS/UYO/SB/100/FF","Control",1.8053944701365
"312","2021-08-30 14:00:00 SS/UYO/SB/092/FF","Control",NA
"313","2021-09-01 07:00:00 SS/UYO/SB/088/FF","Control",0.967372921983811
"314","2021-09-01 07:00:00 SS/UYO/SB/090/FF","Control",1.36929506932082
"315","2021-09-01 07:00:00 SS/UYO/SB/100/FF","Control",2.40719262684866
"316","2021-09-03 07:30:00 SS/UYO/SB/085/FF","Control",NA
"317","2021-09-03 07:30:00 SS/UYO/SB/086/FF","Control",NA
"318","2021-09-03 07:30:00 SS/UYO/SB/088/FF","Control",NA
"319","2021-09-03 07:30:00 SS/UYO/SB/089/FF","Control",NA
"320","2021-09-04 08:00:00 SS/UYO/SB/085/FF","Control",1.98432902791147
"321","2021-09-04 08:00:00 SS/UYO/SB/091/FF","Control",NA
"322","2021-09-04 08:00:00 SS/UYO/SB/095/FF","Control",1.8053944701365
"323","2021-09-05 08:30:00 SS/UYO/SB/088/FF","Control",1.530599325576
"324","2021-09-05 08:30:00 SS/UYO/SB/092/FF","Control",0.661443009303823
"325","2021-09-05 08:30:00 SS/UYO/SB/094/FF","Control",NA
"326","2021-09-06 09:00:00 SS/UYO/SB/039/FF","Control",1.8053944701365
"327","2021-09-06 09:00:00 SS/UYO/SB/085/FF","Control",1.24569801453424
"328","2021-09-06 09:00:00 SS/UYO/SB/085/FF","Experimental",NA
"329","2021-09-06 09:00:00 SS/UYO/SB/086/FF","Control",NA
"330","2021-09-06 09:00:00 SS/UYO/SB/091/FF","Control",NA
"331","2021-09-06 09:00:00 SS/UYO/SB/092/FF","Control",0.558965562998585
"332","2021-09-06 09:00:00 SS/UYO/SB/094/FF","Control",0.919668682293688
"333","2021-09-06 09:00:00 SS/UYO/SB/099/FF","Experimental",NA
"334","2021-09-06 09:00:00 SS/UYO/SB/100/FF","Control",NA
"335","2021-09-07 09:30:00 SS/UYO/SB/085/FF","Control",0.741920980033374
"336","2021-09-07 09:30:00 SS/UYO/SB/088/FF","Control",2.26805957167606
"337","2021-09-07 09:30:00 SS/UYO/SB/091/FF","Control",NA
"338","2021-09-07 09:30:00 SS/UYO/SB/092/FF","Control",NA
"339","2021-09-07 09:30:00 SS/UYO/SB/094/FF","Control",NA
"340","2021-09-08 10:00:00 SS/UYO/SB/090/FF","Control",1.71161883665102
"341","2021-09-08 10:00:00 SS/UYO/SB/091/FF","Control",NA
"342","2021-09-08 10:00:00 SS/UYO/SB/095/FF","Control",0.741920980033374
"343","2021-09-09 10:30:00 SS/UYO/SB/039/FF","Control",NA
"344","2021-09-09 10:30:00 SS/UYO/SB/085/FF","Control",0.984129726426193
"345","2021-09-09 10:30:00 SS/UYO/SB/091/FF","Control",2.90662870057988
"346","2021-09-09 10:30:00 SS/UYO/SB/092/FF","Control",0.738097294819644
"347","2021-09-09 10:30:00 SS/UYO/SB/099/FF","Control",NA
"348","2021-09-09 10:30:00 SS/UYO/SB/100/FF","Control",NA
"349","2021-09-10 11:00:00 SS/UYO/SB/071/FF","Control",3.00899078356083
"350","2021-09-10 11:00:00 SS/UYO/SB/085/FF","Control",NA
"351","2021-09-10 11:00:00 SS/UYO/SB/088/FF","Control",NA
"352","2021-09-11 11:30:00 SS/UYO/SB/089/FF","Control",NA
"353","2021-09-11 11:30:00 SS/UYO/SB/092/FF","Control",NA
"354","2021-09-12 12:00:00 SS/UYO/SB/094/FF","Control",NA
"355","2021-09-13 07:30:00 SS/UYO/SB/071/FF","Control",1.92810017709929
"356","2021-09-13 07:30:00 SS/UYO/SB/088/FF","Control",1.02697130199061
"357","2021-09-13 07:30:00 SS/UYO/SB/100/FF","Control",2.40719262684866
"358","2021-09-13 12:30:00 SS/UYO/SB/085/FF","Control",2.18772603985052
"359","2021-09-13 12:30:00 SS/UYO/SB/091/FF","Control",2.10201522436899
"360","2021-09-13 12:30:00 SS/UYO/SB/094/FF","Control",NA
"361","2021-09-14 08:00:00 SS/UYO/SB/088/FF","Control",2.05962971960065
"362","2021-09-14 08:00:00 SS/UYO/SB/095/FF","Control",2.39626637131143
"363","2021-09-14 13:00:00 SS/UYO/SB/085/FF","Control",NA
"364","2021-09-14 13:00:00 SS/UYO/SB/090/FF","Control",NA
"365","2021-09-14 13:00:00 SS/UYO/SB/092/FF","Control",0.491414425481122
"366","2021-09-15 08:30:00 SS/UYO/SB/039/FF","Control",NA
"367","2021-09-15 08:30:00 SS/UYO/SB/095/FF","Control",2.40719262684866
"368","2021-09-15 08:30:00 SS/UYO/SB/100/FF","Control",NA
"369","2021-09-16 09:00:00 SS/UYO/SB/079/FF","Control",NA
"370","2021-09-16 09:00:00 SS/UYO/SB/095/FF","Control",1.02697130199061
"371","2021-09-17 07:00:00 SS/UYO/SB/039/FF","Control",NA
"372","2021-09-17 07:00:00 SS/UYO/SB/089/FF","Control",1.11288147005006
"373","2021-09-17 07:00:00 SS/UYO/SB/090/FF","Control",NA
"374","2021-09-18 07:30:00 SS/UYO/SB/079/FF","Control",NA
"375","2021-09-18 07:30:00 SS/UYO/SB/091/FF","Control",NA
"376","2021-09-18 07:30:00 SS/UYO/SB/094/FF","Control",NA
"377","2021-09-18 07:30:00 SS/UYO/SB/095/FF","Control",0.992164513955735
"378","2021-09-19 08:00:00 SS/UYO/SB/095/FF","Control",1.02697130199061
"379","2021-09-20 08:30:00 SS/UYO/SB/085/FF","Experimental",NA
"380","2021-09-20 08:30:00 SS/UYO/SB/088/FF","Control",1.20359631342433
"381","2021-09-20 08:30:00 SS/UYO/SB/088/FF","Experimental",NA
"382","2021-09-20 08:30:00 SS/UYO/SB/091/FF","Control",2.75938075104003
"383","2021-09-20 08:30:00 SS/UYO/SB/092/FF","Control",NA
"384","2021-09-20 08:30:00 SS/UYO/SB/094/FF","Control",NA
"385","2021-09-20 08:30:00 SS/UYO/SB/095/FF","Control",1.33714740012465
"386","2021-09-20 08:30:00 SS/UYO/SB/099/FF","Control",0.927401225041718
"387","2021-09-21 09:00:00 SS/UYO/SB/020/FF","Experimental",NA
"388","2021-09-21 09:00:00 SS/UYO/SB/085/FF","Control",NA
"389","2021-09-21 09:00:00 SS/UYO/SB/091/FF","Control",2.73703454493333
"390","2021-09-21 09:00:00 SS/UYO/SB/099/FF","Control",NA
"391","2021-09-21 09:00:00 SS/UYO/SB/100/FF","Control",2.40719262684866
"392","2021-09-22 09:30:00 SS/UYO/SB/085/FF","Control",0.984129726426193
"393","2021-09-22 09:30:00 SS/UYO/SB/091/FF","Control",1.98432902791147
"394","2021-09-23 10:00:00 SS/UYO/SB/086/FF","Control",NA
"395","2021-09-23 10:00:00 SS/UYO/SB/091/FF","Control",NA
"396","2021-09-23 10:00:00 SS/UYO/SB/094/FF","Control",NA
"397","2021-09-23 10:00:00 SS/UYO/SB/095/FF","Control",NA
"398","2021-09-23 10:00:00 SS/UYO/SB/099/FF","Control",NA
"399","2021-09-24 10:30:00 SS/UYO/SB/091/FF","Control",2.73744137251859
"400","2021-09-25 11:00:00 SS/UYO/SB/071/FF","Control",NA
"401","2021-09-25 11:00:00 SS/UYO/SB/088/FF","Control",1.92810017709929
"402","2021-09-25 11:00:00 SS/UYO/SB/091/FF","Control",1.85480245008344
"403","2021-09-25 11:00:00 SS/UYO/SB/092/FF","Control",NA
"404","2021-09-25 11:00:00 SS/UYO/SB/099/FF","Control",NA
"405","2021-09-25 11:00:00 SS/UYO/SB/099/FF","Experimental",NA
"406","2021-09-27 12:00:00 SS/UYO/SB/039/FF","Control",NA
"407","2021-09-27 12:00:00 SS/UYO/SB/085/FF","Control",0.902233582193649
"408","2021-09-27 12:00:00 SS/UYO/SB/091/FF","Control",2.73744137251859
"409","2021-09-28 12:30:00 SS/UYO/SB/039/FF","Control",NA
"410","2021-09-28 12:30:00 SS/UYO/SB/090/FF","Experimental",NA
"411","2021-09-28 12:30:00 SS/UYO/SB/093/FF","Control",0.770738917811292
"412","2021-09-28 12:30:00 SS/UYO/SB/100/FF","Control",NA
"413","2021-09-29 13:00:00 SS/UYO/SB/039/FF","Control",NA
"414","2021-09-29 13:00:00 SS/UYO/SB/095/FF","Control",NA
"415","2021-09-29 13:00:00 SS/UYO/SB/099/FF","Control",NA
"416","2021-09-29 13:00:00 SS/UYO/SB/100/FF","Control",2.88968810375551
"417","2021-09-30 07:00:00 SS/UYO/SB/071/FF","Control",1.02697130199061
"418","2021-10-01 07:00:00 SS/UYO/SB/039/FF","Control",1.71161883665102
"419","2021-10-01 07:00:00 SS/UYO/SB/086/FF","Control",1.20359631342433
"420","2021-10-01 07:00:00 SS/UYO/SB/094/FF","Control",NA
"421","2021-10-01 07:00:00 SS/UYO/SB/100/FF","Control",1.92810017709929
"422","2021-10-02 07:30:00 SS/UYO/SB/085/FF","Control",NA
"423","2021-10-02 07:30:00 SS/UYO/SB/090/FF","Control",NA
"424","2021-10-02 07:30:00 SS/UYO/SB/091/FF","Control",1.85480245008344
"425","2021-10-02 07:30:00 SS/UYO/SB/095/FF","Control",NA
"426","2021-11-01 12:05:00 SS/MAY/SB/065/FF","Control",0.115923978689258
"427","2021-11-01 12:05:00 SS/MAY/SB/065/FF","Experimental",NA
"428","2021-11-01 12:35:00 SS/MAY/SB/077/FF","Control",2.05962971960065
"429","2021-11-01 12:37:00 SS/MAY/SB/033/FF","Control",1.67669200925627
"430","2021-11-01 12:40:00 SS/MAY/SB/001/FF","Control",2.88968810375551
"431","2021-11-01 12:40:00 SS/MAY/SB/034/FF","Control",1.11773989839922
"432","2021-11-01 13:00:00 SS/MAY/SB/042/FF","Control",NA
"433","2021-11-01 13:48:00 SS/MAY/SB/058/FF","Experimental",NA
"434","2021-11-01 14:00:00 SS/MAY/SB/033/FF","Control",1.67669200925627
"435","2021-11-01 14:00:00 SS/UYO/SB/039/FF","Control",0.741920980033374
"436","2021-11-01 14:00:00 SS/UYO/SB/088/FF","Control",2.40719262684866
"437","2021-11-01 14:00:00 SS/UYO/SB/088/FF","Experimental",NA
"438","2021-11-01 14:18:00 SS/MAY/SB/025/FF","Experimental",NA
"439","2021-11-03 07:30:00 SS/UYO/SB/086/FF","Control",1.65360752325956
"440","2021-11-03 07:30:00 SS/UYO/SB/088/FF","Control",NA
"441","2021-11-03 07:30:00 SS/UYO/SB/089/FF","Control",1.8053944701365
"442","2021-11-03 07:30:00 SS/UYO/SB/091/FF","Control",5.89867888731634
"443","2021-11-03 07:30:00 SS/UYO/SB/094/FF","Control",NA
"444","2021-11-03 07:30:00 SS/UYO/SB/099/FF","Control",NA
"445","2021-11-03 07:30:00 SS/UYO/SB/099/FF","Experimental",NA
"446","2021-11-03 14:00:00 SS/MAY/SB/027/FF","Control",0.115923978689258
"447","2021-11-03 14:20:00 SS/MAY/SB/083/FF","Experimental",NA
"448","2021-11-03 14:45:00 SS/MAY/SB/033/FF","Control",0.830595475192919
"449","2021-11-03 14:45:00 SS/MAY/SB/033/FF","Experimental",NA
"450","2021-11-05 08:30:00 SS/UYO/SB/085/FF","Control",0.927401225041718
"451","2021-11-05 08:30:00 SS/UYO/SB/090/FF","Control",0.927401225041718
"452","2021-11-05 08:30:00 SS/UYO/SB/090/FF","Experimental",NA
"453","2021-11-05 08:30:00 SS/UYO/SB/091/FF","Control",3.04098164714935
"454","2021-11-05 12:35:00 SS/MAY/SB/077/FF","Control",2.88968810375551
"455","2021-11-05 13:15:00 SS/MAY/SB/001/FF","Control",1.530599325576
"456","2021-11-08 10:00:00 SS/UYO/SB/085/FF","Control",1.83958716736002
"457","2021-11-08 10:00:00 SS/UYO/SB/085/FF","Experimental",NA
"458","2021-11-08 10:00:00 SS/UYO/SB/090/FF","Control",1.23016215803274
"459","2021-11-08 10:00:00 SS/UYO/SB/091/FF","Control",5.78430053129788
"460","2021-11-08 10:00:00 SS/UYO/SB/092/FF","Control",1.31002311623318
"461","2021-11-08 10:00:00 SS/UYO/SB/094/FF","Control",1.32288601860765
"462","2021-11-08 10:00:00 SS/UYO/SB/095/FF","Control",1.24569801453424
"463","2021-11-08 10:00:00 SS/UYO/SB/099/FF","Experimental",NA
"464","2021-11-10 11:30:00 SS/UYO/SB/039/FF","Control",0.838448344497878
"465","2021-11-10 11:30:00 SS/UYO/SB/086/FF","Control",2.05394260398123
"466","2021-11-10 11:30:00 SS/UYO/SB/089/FF","Control",1.72222702124584
"467","2021-11-10 11:30:00 SS/UYO/SB/089/FF","Experimental",NA
"468","2021-11-10 11:30:00 SS/UYO/SB/099/FF","Control",3.21927754288004
"469","2021-11-10 11:30:00 SS/UYO/SB/099/FF","Experimental",NA
"470","2021-11-10 13:52:00 SS/MAY/SB/028/FF","Experimental",NA
"471","2021-11-10 13:52:00 SS/MAY/SB/082/FF","Experimental",NA
"472","2021-11-12 12:30:00 SS/UYO/SB/091/FF","Control",6.00705531158443
"473","2021-11-12 12:30:00 SS/UYO/SB/094/FF","Control",1.36929506932082
"474","2021-11-12 12:30:00 SS/UYO/SB/099/FF","Control",1.11288147005006
"475","2021-11-13 12:30:00 SS/MAY/SB/033/FF","Control",1.11773989839922
"476","2021-11-13 12:42:00 SS/MAY/SB/033/FF","Control",1.11773989839922
"477","2021-11-13 13:36:00 SS/MAY/SB/036/FF","Control",0.699778550783464
"478","2021-11-15 07:30:00 SS/UYO/SB/039/FF","Experimental",NA
"479","2021-11-15 07:30:00 SS/UYO/SB/071/FF","Control",NA
"480","2021-11-15 07:30:00 SS/UYO/SB/093/FF","Experimental",NA
"481","2021-11-15 07:30:00 SS/UYO/SB/099/FF","Experimental",NA
"482","2021-11-15 13:51:00 SS/MAY/SB/029/FF","Experimental",NA
"483","2021-11-15 14:18:00 SS/MAY/SB/025/FF","Experimental",NA
"484","2021-11-16 12:35:00 SS/MAY/SB/001/FF","Control",5.77937620751103
"485","2021-11-16 12:35:00 SS/MAY/SB/045/FF","Control",5.77937620751103
"486","2021-11-17 08:30:00 SS/UYO/SB/085/FF","Control",1.31043846794966
"487","2021-11-17 08:30:00 SS/UYO/SB/094/FF","Control",NA
"488","2021-11-17 08:30:00 SS/UYO/SB/099/FF","Experimental",NA
"489","2021-11-19 09:30:00 SS/UYO/SB/071/FF","Control",NA
"490","2021-11-19 09:30:00 SS/UYO/SB/089/FF","Control",0.819024042468536
"491","2021-11-19 09:30:00 SS/UYO/SB/089/FF","Experimental",NA
"492","2021-11-19 09:30:00 SS/UYO/SB/093/FF","Control",NA
"493","2021-11-19 09:30:00 SS/UYO/SB/099/FF","Control",1.85480245008344
"494","2021-11-22 10:30:00 SS/UYO/SB/085/FF","Control",1.23016215803274
"495","2021-11-22 10:30:00 SS/UYO/SB/091/FF","Control",4.45020897529267
"496","2021-11-22 10:30:00 SS/UYO/SB/095/FF","Control",0.982828850962244
"497","2021-11-22 10:30:00 SS/UYO/SB/099/FF","Control",1.83958716736002
"498","2021-11-22 10:30:00 SS/UYO/SB/100/FF","Control",1.85480245008344
"499","2021-11-24 11:30:00 SS/UYO/SB/039/FF","Control",0.558965562998585
"500","2021-11-24 11:30:00 SS/UYO/SB/071/FF","Control",0.819024042468536
"501","2021-11-24 11:30:00 SS/UYO/SB/085/FF","Control",NA
"502","2021-11-24 11:30:00 SS/UYO/SB/089/FF","Experimental",1.36872068625929
"503","2021-11-24 11:30:00 SS/UYO/SB/091/FF","Control",2.41124318510847
"504","2021-11-24 11:30:00 SS/UYO/SB/099/FF","Control",1.65360752325956
"505","2021-11-24 11:30:00 SS/UYO/SB/100/FF","Control",2.97649354186721
"506","2021-11-26 12:30:00 SS/UYO/SB/089/FF","Control",1.98432902791147
"507","2021-11-26 12:30:00 SS/UYO/SB/090/FF","Control",1.98432902791147
"508","2021-11-26 12:30:00 SS/UYO/SB/091/FF","Control",5.05886471024006
"509","2021-11-26 12:30:00 SS/UYO/SB/095/FF","Control",1.11793112599717
"510","2021-11-26 12:30:00 SS/UYO/SB/100/FF","Control",3.63793655117103
"511","2021-11-29 07:00:00 SS/UYO/SB/039/FF","Control",0.558965562998585
"512","2021-11-29 07:00:00 SS/UYO/SB/089/FF","Control",1.01012521827625
"513","2021-11-29 07:00:00 SS/UYO/SB/090/FF","Control",2.64577203721529
"514","2021-11-29 07:00:00 SS/UYO/SB/091/FF","Control",6.17491515275233
"515","2021-11-29 07:00:00 SS/UYO/SB/091/FF","Experimental",NA
"516","2021-11-29 07:00:00 SS/UYO/SB/094/FF","Control",0.927401225041718
"517","2021-11-29 07:00:00 SS/UYO/SB/095/FF","Control",1.67689668899576
"518","2021-11-29 07:00:00 SS/UYO/SB/100/FF","Control",2.22576294010012
"519","2021-11-29 12:45:00 SS/MAY/SB/074/FF","Control",0.795623113901458
"520","2021-11-29 13:15:00 SS/MAY/SB/010/FF","Control",NA
"521","2021-12-02 12:40:00 SS/MAY/SB/036/FF","Control",1.59124622780292
"522","2021-12-02 13:47:00 SS/MAY/SB/042/FF","Control",0.536103702057102
"523","2021-12-02 14:32:00 SS/MAY/SB/064/FF","Control",NA
"524","2022-02-01 08:30:00 SS/UYO/SB/085/FF","Control",NA
"525","2022-02-01 08:30:00 SS/UYO/SB/085/FF","Experimental",0.819024042468536
"526","2022-02-01 08:30:00 SS/UYO/SB/086/FF","Control",1.11288147005006
"527","2022-02-01 08:30:00 SS/UYO/SB/088/FF","Control",NA
"528","2022-02-01 08:30:00 SS/UYO/SB/091/FF","Control",NA
"529","2022-02-01 08:30:00 SS/UYO/SB/093/FF","Control",2.52989833381146
"530","2022-02-01 08:30:00 SS/UYO/SB/094/FF","Control",1.11288147005006
"531","2022-02-01 12:09:00 SS/MAY/SB/033/FF","Control",0.327719634228714
"532","2022-02-01 12:29:00 SS/MAY/SB/036/FF","Control",1.32608556327057
"533","2022-02-01 12:35:00 SS/MAY/SB/045/FF","Experimental",NA
"534","2022-02-01 12:38:00 SS/MAY/SB/013/FF","Control",1.8053944701365
"535","2022-02-01 12:38:00 SS/MAY/SB/077/FF","Experimental",NA
"536","2022-02-01 12:40:00 SS/MAY/SB/076/FF","Control",NA
"537","2022-02-01 12:41:00 SS/MAY/SB/014/FF","Control",0.677003501834182
"538","2022-02-01 12:42:00 SS/MAY/SB/019/FF","Control",1.0510076121845
"539","2022-02-01 12:44:00 SS/MAY/SB/068/FF","Control",1.36872068625929
"540","2022-02-01 12:48:00 SS/MAY/SB/004/FF","Control",0.795623113901458
"541","2022-02-01 12:50:00 SS/MAY/SB/032/FF","Experimental",NA
"542","2022-02-01 12:55:00 SS/MAY/SB/010/FF","Experimental",NA
"543","2022-02-01 13:15:00 SS/MAY/SB/033/FF","Control",1.28113851546992
"544","2022-02-01 13:15:00 SS/MAY/SB/034/FF","Control",1.31174216869402
"545","2022-02-01 13:15:00 SS/MAY/SB/066/FF","Control",NA
"546","2022-02-01 13:15:00 SS/MAY/SB/066/FF","Experimental",NA
"547","2022-02-02 09:00:00 SS/MAY/SB/020/FF","Experimental",NA
"548","2022-02-02 09:00:00 SS/UYO/SB/085/FF","Control",NA
"549","2022-02-02 09:00:00 SS/UYO/SB/088/FF","Control",NA
"550","2022-02-02 09:00:00 SS/UYO/SB/092/FF","Control",NA
"551","2022-02-02 09:00:00 SS/UYO/SB/095/FF","Experimental",0.819024042468536
"552","2022-02-02 09:00:00 SS/UYO/SB/100/FF","Control",NA
"553","2022-02-02 09:00:00 SS/UYO/SB/100/FF","Experimental",1.5993649289374
"554","2022-02-03 12:09:00 SS/MAY/SB/033/FF","Experimental",NA
"555","2022-02-03 12:25:00 SS/MAY/SB/001/FF","Control",2.03101050550254
"556","2022-02-03 12:25:00 SS/MAY/SB/045/FF","Experimental",NA
"557","2022-02-03 12:29:00 SS/MAY/SB/019/FF","Control",1.01182508686632
"558","2022-02-03 12:41:00 SS/MAY/SB/004/FF","Control",1.35400700366836
"559","2022-02-03 12:41:00 SS/MAY/SB/072/FF","Experimental",NA
"560","2022-02-03 13:20:00 SS/MAY/SB/022/FF","Experimental",NA
"561","2022-02-03 13:26:00 SS/MAY/SB/003/FF","Experimental",1.30011233322236
"562","2022-02-03 13:28:00 SS/MAY/SB/010/FF","Experimental",NA
"563","2022-02-05 12:18:00 SS/MAY/SB/068/FF","Control",1.73348311096315
"564","2022-02-05 12:18:00 SS/MAY/SB/068/FF","Experimental",NA
"565","2022-02-05 12:39:00 SS/MAY/SB/014/FF","Control",1.8053944701365
"566","2022-02-05 12:43:00 SS/MAY/SB/019/FF","Experimental",NA
"567","2022-02-05 12:45:00 SS/MAY/SB/003/FF","Experimental",NA
"568","2022-02-05 12:45:00 SS/MAY/SB/011/FF","Control",1.21585141379462
"569","2022-02-05 12:50:00 SS/MAY/SB/066/FF","Control",2.10201522436899
