"","survey_id","BMU","landing_site","fisher_id","household_id","trap_type","total_traps_collected","date_set_dd_mm_yyyy","date_collected_dd_mm_yyyy","year","month","day","total_biomass_kg","take_home_weight_kg","total_value_KES","take_home_value_KES","No. of fishers in crew","date_time_set","date_time_collected","total_catch","CPUE","yield_kg_trap","value_KES_trap","richness","calculated_biomass_pertrap","KSHpertrap","pertrap_Calcium","pertrap_Iron","pertrap_Omega3","pertrap_Protein","pertrap_VitaminA","pertrap_Selenium","pertrap_Zinc","mean.trophic"
"222","2021-07-12 12:45:00 SS/MAY/SB/036/FF","MAYUNGU","MAYUNGU","SS/MAY/SB/036/FF","SS/MAY/SB/036","Control",7,2021-07-12,2021-07-12,"2021","Jul","12",2,NA,400,NA,3,2021-07-12 07:30:00,2021-07-12 12:45:00,6,0.857142857142857,0.285714285714286,57.1428571428571,1,0.150704197576006,30.1408395152012,65.9186015055526,1.4016075785024,0.414968161433218,27.4261744675096,40.6634411003004,31.8561754741201,2.57043026333164,2
"223","2021-07-13 12:34:00 SS/MAY/SB/074/FF","MAYUNGU","MAYUNGU","SS/MAY/SB/074/FF","SS/MAY/SB/074","Control",7,2021-07-13,2021-07-13,"2021","Jul","13",8,NA,1600,NA,3,2021-07-13 07:36:00,2021-07-13 12:34:00,15,2.14285714285714,1.14285714285714,228.571428571429,3,1.69425862730018,244.934388709219,600.613532561208,13.6390735537453,2.36877875111419,319.345611443434,357.02816655375,425.79875757616,30.9600834152762,2.398
"224","2021-07-13 12:47:00 SS/MAY/SB/028/FF","MAYUNGU","MAYUNGU","SS/MAY/SB/028/FF","SS/MAY/SB/028","Control",13,2021-07-13,2021-07-13,"2021","Jul","13",3,NA,600,NA,3,2021-07-13 07:13:00,2021-07-13 12:47:00,8,0.615384615384615,0.230769230769231,46.1538461538462,2,0.146838480768009,26.8124181750701,60.5904346389556,1.36036982271915,0.369492813690203,26.5472228362566,38.3175890231871,31.196991194296,2.78291575324794,2
"225","2021-07-14 13:13:00 SS/MAY/SB/028/FF","MAYUNGU","MAYUNGU","SS/MAY/SB/028/FF","SS/MAY/SB/028","Control",13,2021-07-14,2021-07-14,"2021","Jul","14",2,NA,400,NA,3,2021-07-14 07:32:00,2021-07-14 13:13:00,7,0.538461538461538,0.153846153846154,30.7692307692308,3,0.164525082695927,32.3806506585862,63.7884220974532,1.27866547836081,0.27044352933859,31.1904409658926,67.7895376319649,41.1385137283995,2.27851071201147,2.710000038
"226","2021-07-15 12:29:00 SS/MAY/SB/029/FF","MAYUNGU","MAYUNGU","SS/MAY/SB/029/FF","SS/MAY/SB/029","Control",9,2021-07-15,2021-07-15,"2021","Jul","15",1.5,NA,300,NA,3,2021-07-15 07:11:00,2021-07-15 12:29:00,6,0.666666666666667,0.166666666666667,33.3333333333333,1,0.16984088645892,33.968177291784,74.2890635689755,1.5795862187603,0.467661561679467,30.908799215029,45.8269576695896,35.9013296825176,2.89682810118746,2
"227","2021-07-15 12:49:00 SS/MAY/SB/028/FF","MAYUNGU","MAYUNGU","SS/MAY/SB/028/FF","SS/MAY/SB/028","Control",13,2021-07-15,2021-07-15,"2021","Jul","15",5,NA,1000,NA,3,2021-07-15 07:18:00,2021-07-15 12:49:00,12,0.923076923076923,0.384615384615385,76.9230769230769,5,0.211251464371011,35.6018614442495,85.4917706296249,1.51760674601688,0.380456695343676,39.7667064014252,98.683773554068,61.0122446416213,3.25639319743045,2.66333333333333
"228","2021-07-16 13:34:00 SS/MAY/SB/017/FF","MAYUNGU","MAYUNGU","SS/MAY/SB/017/FF","SS/MAY/SB/017","Control",10,2021-07-16,2021-07-16,"2021","Jul","16",7,NA,1400,NA,3,2021-07-16 07:14:00,2021-07-16 13:34:00,7,0.7,0.7,140,5,0.305711099931389,52.1602842864364,94.9608369788823,2.30336382822046,0.701887387068318,55.4147874248482,288.920850109368,91.5383137720555,4.50577457649959,2.69
"229","2021-07-17 13:57:00 SS/MAY/SB/028/FF","MAYUNGU","MAYUNGU","SS/MAY/SB/028/FF","SS/MAY/SB/028","Control",13,2021-07-17,2021-07-17,"2021","Jul","17",4,NA,800,NA,3,2021-07-17 07:04:00,2021-07-17 13:57:00,10,0.769230769230769,0.307692307692308,61.5384615384615,4,0.0848649695032531,15.6396436018427,35.2223219434448,0.786519410421257,0.21550313664941,15.3527579501751,22.2187100643019,18.0213621851679,1.59274794058821,2
"230","2021-07-17 12:45:00 SS/MAY/SB/077/FF","MAYUNGU","MAYUNGU","SS/MAY/SB/077/FF","SS/MAY/SB/077","Control",15,2021-07-17,2021-07-17,"2021","Jul","17",10,NA,2000,NA,3,2021-07-17 07:30:00,2021-07-17 12:45:00,13,0.866666666666667,0.666666666666667,133.333333333333,1,0.292236948426665,58.447389685333,127.825576582368,2.7179171398106,0.80468249154312,53.1832667060257,78.8522160020524,61.7736709318004,4.98443114645656,2
"231","2021-07-17 12:30:00 SS/MAY/SB/003/FF","MAYUNGU","MAYUNGU","SS/MAY/SB/003/FF","SS/MAY/SB/003","Control",15,2021-07-17,2021-07-17,"2021","Jul","17",12,NA,2400,NA,3,2021-07-17 07:15:00,2021-07-17 12:30:00,12,0.8,0.8,160,2,0.326922939490058,62.403948168947,142.01319635922,2.75867865029319,0.799884072666576,60.7331847366079,109.586805012738,86.3597513654694,5.0167500264117,2.4975
"232","2021-07-18 01:48:00 SS/MAY/SB/058/FF","MAYUNGU","MAYUNGU","SS/MAY/SB/058/FF","SS/MAY/SB/058","Control",9,2021-07-18,2021-07-18,"2021","Jul","18",8,NA,1600,NA,3,2021-07-18 07:13:00,2021-07-18 01:48:00,11,1.22222222222222,0.888888888888889,177.777777777778,5,0.510029308907481,77.7029317034008,210.024667245134,3.90780681060754,0.955964703412475,92.7923629147034,321.966089685323,142.546727977498,9.30877952139659,2.698
